index,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,year_end,year_start,z_bias
357,47,14,,ITA,p,1142.0,,female,-99.0,,0.0245,1990,1989,1
358,5,3,,ITA,p,108.0,,male,-99.0,,0.0,1989,1987,0
359,8,6,,ITA,p,349.0,,male,-99.0,,0.0057,1989,1987,0
360,11,10,,ITA,p,456.0,,male,-99.0,,0.0,1989,1987,0
361,16,14,,ITA,p,369.0,,male,-99.0,,0.0054,1989,1987,0
362,19,17,,ITA,p,156.0,,male,-99.0,,0.0,1989,1987,0
363,5,3,,ITA,p,99.0,,female,-99.0,,0.0,1989,1987,0
364,8,6,,ITA,p,315.0,,female,-99.0,,0.0,1989,1987,0
365,11,10,,ITA,p,459.0,,female,-99.0,,0.0022,1989,1987,0
366,16,14,,ITA,p,354.0,,female,-99.0,,0.0056,1989,1987,0
367,19,17,,ITA,p,84.0,,female,-99.0,,0.0238,1989,1987,0
368,69,20,,JAM,p,63.0,,total,-99.0,,0.0,1998,1998,1
369,20,0,,JOR,p,1334.0,,total,-99.0,,0.0007,2005,2003,1
370,30,21,,JOR,p,5060.0,,total,-99.0,,0.0065,2005,2003,1
371,40,31,,JOR,p,1846.0,,total,-99.0,,0.0002,2005,2003,1
372,50,41,,JOR,p,404.0,,total,-99.0,,0.0099,2005,2003,1
373,70,51,,JOR,p,106.0,,total,-99.0,,0.0094,2005,2003,1
374,58,31,,JPN,p,76.0,,total,-99.0,,0.0,1998,1996,1
375,9,0,,JPN,p,100.0,,total,-99.0,,0.0,1992,1992,1
376,19,10,,JPN,p,100.0,,total,-99.0,,0.0,1992,1992,1
377,29,20,,JPN,p,93.0,,total,-99.0,,0.0,1992,1992,1
378,39,30,,JPN,p,155.0,,total,-99.0,,0.0065,1992,1992,1
379,49,40,,JPN,p,156.0,,total,-99.0,,0.0,1992,1992,1
380,59,50,,JPN,p,201.0,,total,-99.0,,0.01,1992,1992,1
381,69,60,,JPN,p,292.0,,total,-99.0,,0.0,1992,1992,1
382,80,70,,JPN,p,198.0,,total,-99.0,,0.0101,1992,1992,1
383,45,20,,JPN,p,241.0,,female,-99.0,,0.0041,2001,2001,1
384,86,24,,JPN,p,3197.0,,male,-99.0,,0.0241,2000,1994,1
385,86,24,,JPN,p,1587.0,,female,-99.0,,0.017,2000,1994,1
386,59,40,,JPN,p,535.0,,total,-99.0,,0.0168,1989,1989,1
387,80,60,,JPN,p,474.0,,total,-99.0,,0.0295,1989,1989,1
388,20,16,,JPN,p,876.0,,male,-99.0,,0.0003,1989,1989,1
389,30,21,,JPN,p,910.0,,male,-99.0,,0.0004,1989,1989,1
390,40,31,,JPN,p,1159.0,,male,-99.0,,0.0011,1989,1989,1
391,50,41,,JPN,p,788.0,,male,-99.0,,0.0028,1989,1989,1
392,60,51,,JPN,p,496.0,,male,-99.0,,0.0113,1989,1989,1
393,65,61,,JPN,p,148.0,,male,-99.0,,0.0277,1989,1989,1
394,20,16,,JPN,p,1012.0,,female,-99.0,,0.0004,1989,1989,1
395,30,21,,JPN,p,891.0,,female,-99.0,,0.0004,1989,1989,1
396,40,31,,JPN,p,900.0,,female,-99.0,,0.0014,1989,1989,1
397,50,41,,JPN,p,848.0,,female,-99.0,,0.0022,1989,1989,1
398,60,51,,JPN,p,734.0,,female,-99.0,,0.0042,1989,1989,1
399,65,61,,JPN,p,182.0,,female,-99.0,,0.0181,1989,1989,1
400,64,16,,JPN,p,6063742.0,,total,-99.0,,0.0115,1990,1989,1
401,84,9,,JPN,p,261.0,,male,-99.0,,0.1264,1990,1990,1
402,84,9,,JPN,p,318.0,,female,-99.0,,0.0975,1990,1990,1
403,60,30,,JPN,p,778.0,,total,-99.0,,0.1054,1996,1996,1
404,49,15,,JPN,p,21791.0,,female,-99.0,,0.0058,1998,1992,1
405,15,6,,JPN,p,1442.0,,total,-99.0,,0.0,1990,1986,1
406,20,16,,JPN,p,1769.0,,male,-99.0,,0.0011,1990,1986,1
407,30,21,,JPN,p,5817.0,,male,-99.0,,0.0,1990,1986,1
408,40,31,,JPN,p,5910.0,,male,-99.0,,0.0034,1990,1986,1
409,50,41,,JPN,p,4999.0,,male,-99.0,,0.0102,1990,1986,1
410,65,51,,JPN,p,3236.0,,male,-99.0,,0.013,1990,1986,1
411,20,16,,JPN,p,2233.0,,female,-99.0,,0.0018,1990,1986,1
412,30,21,,JPN,p,4141.0,,female,-99.0,,0.0027,1990,1986,1
413,40,31,,JPN,p,2125.0,,female,-99.0,,0.0033,1990,1986,1
414,50,41,,JPN,p,2447.0,,female,-99.0,,0.0074,1990,1986,1
415,65,51,,JPN,p,2312.0,,female,-99.0,,0.0091,1990,1986,1
416,19,16,,JPN,p,582415.0,,total,-99.0,,0.0013,2000,1995,1
417,29,20,,JPN,p,1929147.0,,total,-99.0,,0.0021,2000,1995,1
418,39,30,,JPN,p,472447.0,,total,-99.0,,0.0077,2000,1995,1
419,49,40,,JPN,p,247020.0,,total,-99.0,,0.0128,2000,1995,1
420,59,50,,JPN,p,198477.0,,total,-99.0,,0.018,2000,1995,1
421,69,60,,JPN,p,56142.0,,total,-99.0,,0.0338,2000,1995,1
422,80,19,,JPN,p,80.0,,total,-99.0,,0.0625,2000,1995,1
423,65,6,,JPN,p,3170.0,,total,-99.0,,0.0107,1989,1989,1
424,69,60,,JPN,p,1971.0,,total,-99.0,,0.0705,1999,1996,1
425,79,70,,JPN,p,544.0,,total,-99.0,,0.0007,1999,1996,1
426,89,80,,JPN,p,109.0,,total,-99.0,,0.0004,1999,1996,1
427,45,18,,KEN,p,780.0,,total,-99.0,,0.009,1995,1995,1
428,29,0,,KOR,p,126.0,,total,-99.0,,0.0,1994,1994,1
429,39,30,,KOR,p,246.0,,total,-99.0,,0.0081,1994,1994,1
430,49,40,,KOR,p,150.0,,total,-99.0,,0.02,1994,1994,1
431,59,50,,KOR,p,116.0,,total,-99.0,,0.0,1994,1994,1
432,80,60,,KOR,p,8.0,,total,-99.0,,0.0,1994,1994,1
433,29,0,,KOR,p,244.0,,total,-99.0,,0.0041,1994,1994,1
434,39,30,,KOR,p,335.0,,total,-99.0,,0.006,1994,1994,1
435,49,40,,KOR,p,237.0,,total,-99.0,,0.0084,1994,1994,1
436,59,50,,KOR,p,160.0,,total,-99.0,,0.025,1994,1994,1
437,80,60,,KOR,p,37.0,,total,-99.0,,0.0,1994,1994,1
438,29,0,,KOR,p,190.0,,total,-99.0,,0.0158,1997,1997,1
439,39,30,,KOR,p,1353.0,,total,-99.0,,0.0044,1997,1997,1
440,49,40,,KOR,p,5644.0,,total,-99.0,,0.011,1997,1997,1
441,59,50,,KOR,p,2779.0,,total,-99.0,,0.0209,1997,1997,1
442,80,60,,KOR,p,174.0,,total,-99.0,,0.0287,1997,1997,1
443,29,0,,KOR,p,361.0,,total,-99.0,,0.0111,1992,1992,1
444,39,30,,KOR,p,1106.0,,total,-99.0,,0.0054,1992,1992,1
445,49,40,,KOR,p,917.0,,total,-99.0,,0.0098,1992,1992,1
446,59,50,,KOR,p,487.0,,total,-99.0,,0.0185,1992,1992,1
447,80,60,,KOR,p,129.0,,total,-99.0,,0.031,1992,1992,1
448,29,0,,KOR,p,8.0,,total,-99.0,,0.0,1995,1995,1
449,39,30,,KOR,p,56.0,,total,-99.0,,0.0,1995,1995,1
450,49,40,,KOR,p,110.0,,total,-99.0,,0.0,1995,1995,1
451,59,50,,KOR,p,294.0,,total,-99.0,,0.0068,1995,1995,1
452,80,60,,KOR,p,495.0,,total,-99.0,,0.0141,1995,1995,1
453,39,30,,KOR,p,563.0,,total,-99.0,,0.016,1994,1992,1
454,49,40,,KOR,p,618.0,,total,-99.0,,0.0194,1994,1992,1
455,59,50,,KOR,p,446.0,,total,-99.0,,0.0426,1994,1992,1
456,80,60,,KOR,p,179.0,,total,-99.0,,0.0726,1994,1992,1
457,39,30,,KOR,p,1575.0,,total,-99.0,,0.0102,2000,1998,1
458,49,40,,KOR,p,1598.0,,total,-99.0,,0.0163,2000,1998,1
459,59,50,,KOR,p,2199.0,,total,-99.0,,0.0264,2000,1998,1
460,80,60,,KOR,p,1418.0,,total,-99.0,,0.0289,2000,1998,1
461,29,0,,KOR,p,191.0,,total,-99.0,,0.0,1991,1990,1
462,39,30,,KOR,p,1388.0,,total,-99.0,,0.0086,1991,1990,1
463,49,40,,KOR,p,1976.0,,total,-99.0,,0.0162,1991,1990,1
464,59,50,,KOR,p,966.0,,total,-99.0,,0.0238,1991,1990,1
465,80,60,,KOR,p,396.0,,total,-99.0,,0.0404,1991,1990,1
466,29,0,,KOR,p,1315.0,,total,-99.0,,0.0038,2000,1997,1
467,39,30,,KOR,p,5279.0,,total,-99.0,,0.0068,2000,1997,1
468,49,40,,KOR,p,6495.0,,total,-99.0,,0.0049,2000,1997,1
469,59,50,,KOR,p,5457.0,,total,-99.0,,0.0125,2000,1997,1
470,80,60,,KOR,p,2745.0,,total,-99.0,,0.0179,2000,1997,1
471,29,0,,KOR,p,3988.0,,total,-99.0,,0.002,1998,1995,1
472,39,30,,KOR,p,48239.0,,total,-99.0,,0.0023,1998,1995,1
473,49,40,,KOR,p,22684.0,,total,-99.0,,0.0039,1998,1995,1
474,59,50,,KOR,p,8443.0,,total,-99.0,,0.0095,1998,1995,1
475,80,60,,KOR,p,3030.0,,total,-99.0,,0.0211,1998,1995,1
476,29,0,,KOR,p,18.0,,total,-99.0,,0.0,1994,1994,1
477,39,30,,KOR,p,149.0,,total,-99.0,,0.0,1994,1994,1
478,49,40,,KOR,p,182.0,,total,-99.0,,0.0,1994,1994,1
479,59,50,,KOR,p,151.0,,total,-99.0,,0.0132,1994,1994,1
480,80,60,,KOR,p,32.0,,total,-99.0,,0.0938,1994,1994,1
481,29,0,,KOR,p,399.0,,total,-99.0,,0.0,1993,1993,1
482,39,30,,KOR,p,68.0,,total,-99.0,,0.0588,1993,1993,1
483,49,40,,KOR,p,84.0,,total,-99.0,,0.119,1993,1993,1
484,59,50,,KOR,p,210.0,,total,-99.0,,0.1,1993,1993,1
485,80,60,,KOR,p,272.0,,total,-99.0,,0.1066,1993,1993,1
486,49,40,,KOR,p,117.0,,total,-99.0,,0.0427,1991,1991,1
487,59,50,,KOR,p,216.0,,total,-99.0,,0.1065,1991,1991,1
488,69,60,,KOR,p,248.0,,total,-99.0,,0.0011,1991,1991,1
489,80,70,,KOR,p,119.0,,total,-99.0,,0.1765,1991,1991,1
490,49,40,,KOR,p,117.0,,total,-99.0,,0.0427,1999,1999,1
491,59,50,,KOR,p,216.0,,total,-99.0,,0.1065,1999,1999,1
492,80,60,,KOR,p,367.0,,total,-99.0,,0.1335,1999,1999,1
493,29,0,,KOR,p,1262.0,,total,-99.0,,0.0079,1993,1992,1
494,39,30,,KOR,p,1872.0,,total,-99.0,,0.0101,1993,1992,1
495,49,40,,KOR,p,1682.0,,total,-99.0,,0.0256,1993,1992,1
496,59,50,,KOR,p,565.0,,total,-99.0,,0.0496,1993,1992,1
497,80,60,,KOR,p,3988.0,,total,-99.0,,0.002,1993,1992,1
498,20,17,,LAO,p,2935.0,,total,-99.0,,0.006,2005,2003,1
499,30,21,,LAO,p,4281.0,,total,-99.0,,0.011,2005,2003,1
500,40,31,,LAO,p,2994.0,,total,-99.0,,0.026,2005,2003,1
501,50,41,,LAO,p,2092.0,,total,-99.0,,0.053,2005,2003,1
502,66,51,,LAO,p,1595.0,,total,-99.0,,0.042,2005,2003,1
503,29,23,,MNG,p,27.0,,total,-99.0,,0.0741,2002,2002,1
504,39,30,,MNG,p,47.0,,total,-99.0,,0.1064,2002,2002,1
505,49,40,,MNG,p,65.0,,total,-99.0,,0.1231,2002,2002,1
506,59,50,,MNG,p,40.0,,total,-99.0,,0.25,2002,2002,1
507,69,60,,MNG,p,51.0,,total,-99.0,,0.2353,2002,2002,1
508,55,17,,LKA,p,534.0,,total,-99.0,,0.0056,2002,2002,0
509,65,18,,MEX,p,94806.0,,total,-99.0,,0.0097,2005,1999,1
510,55,0,,MEX,p,414.0,,male,-99.0,,0.0169,1993,1992,1
511,55,0,,MEX,p,586.0,,female,-99.0,,0.0171,1993,1992,1
512,41,23,,MEX,p,89.0,,total,-99.0,,0.0112,1998,1998,1
513,86,70,,MNG,p,19.0,,total,-99.0,,0.2105,2002,2002,1
514,19,0,,MOZ,p,159.0,,total,-99.0,,0.0063,2004,2004,1
515,29,20,,MOZ,p,603.0,,total,-99.0,,0.0133,2004,2004,1
516,39,30,,MOZ,p,374.0,,total,-99.0,,0.008,2004,2004,1
517,49,40,,MOZ,p,260.0,,total,-99.0,,0.0231,2004,2004,1
518,70,50,,MOZ,p,139.0,,total,-99.0,,0.0216,2004,2004,1
519,16,1,,MYS,p,179.0,,total,-99.0,,0.0056,2000,1999,1
520,19,0,,NGA,p,75.0,,total,-99.0,,0.0267,2003,2001,1
521,29,20,,NGA,p,60.0,,total,-99.0,,0.0333,2003,2001,1
522,39,30,,NGA,p,84.0,,total,-99.0,,0.0357,2003,2001,1
523,49,40,,NGA,p,90.0,,total,-99.0,,0.0222,2003,2001,1
524,70,50,,NGA,p,57.0,,total,-99.0,,0.0351,2003,2001,1
525,30,20,,NGA,p,98.0,,total,-99.0,,0.019,2000,2000,1
526,40,31,,NGA,p,67.0,,total,-99.0,,0.0003,2000,2000,1
527,50,41,,NGA,p,47.0,,total,-99.0,,0.0006,2000,2000,1
528,70,51,,NGA,p,48.0,,total,-99.0,,0.0,2000,2000,1
529,30,20,,NGA,p,60.0,,total,-99.0,,0.06,1995,1995,1
530,40,31,,NGA,p,42.0,,total,-99.0,,0.14,1995,1995,1
531,50,41,,NGA,p,29.0,,total,-99.0,,0.0001,1995,1995,1
532,60,51,,NGA,p,19.0,,total,-99.0,,0.0,1995,1995,1
533,25,18,,NGA,p,322.0,,total,-99.0,,0.0,2005,2005,1
534,33,26,,NGA,p,489.0,,total,-99.0,,0.0008,2005,2005,1
535,41,34,,NGA,p,188.0,,total,-99.0,,0.0007,2005,2005,1
536,20,0,,NGA,p,196.0,,male,-99.0,,0.0816,2005,2004,1
537,40,21,,NGA,p,1372.0,,male,-99.0,,0.0641,2005,2004,1
538,60,41,,NGA,p,400.0,,male,-99.0,,0.06,2005,2004,1
539,80,61,,NGA,p,20.0,,male,-99.0,,0.2,2005,2004,1
540,20,0,,NGA,p,36.0,,female,-99.0,,0.0,2005,2004,1
541,40,21,,NGA,p,332.0,,female,-99.0,,0.0602,2005,2004,1
542,60,41,,NGA,p,140.0,,female,-99.0,,0.0571,2005,2004,1
543,62,19,,NGA,p,1259.0,,total,-99.0,,0.0445,2004,2002,1
544,41,2,,NIC,p,399.0,,total,-99.0,,0.0075,1992,1990,1
545,65,18,,NLD,p,1355.0,,total,-99.0,,0.0066,2004,2004,1
546,65,18,,NLD,p,206.0,,male,-99.0,,0.0243,1989,1987,1
547,65,18,,NLD,p,262.0,,female,-99.0,,0.0076,1989,1987,1
548,40,20,,NPL,p,103.0,,total,-99.0,,0.0097,2004,2004,1
549,60,20,,NPL,p,303.0,,total,-99.0,,0.0033,1994,1994,1
550,90,15,,NPL,p,458.0,,total,-99.0,,0.0175,1996,1996,1
551,49,15,,NPL,p,81.0,,female,-99.0,,0.0,1996,1994,1
552,70,16,,NZL,p,2985.0,,total,-99.0,,0.0047,1990,1990,1
553,6,6,,PAK,p,133.0,,male,-99.0,,0.0075,1991,1990,0
554,64,18,,PAK,p,351309.0,,male,-99.0,,0.0181,2002,1998,1
555,10,1,,PAK,p,61.0,,total,-99.0,,0.0164,2005,2005,0
556,20,11,,PAK,p,93.0,,total,-99.0,,0.0753,2005,2005,0
557,30,21,,PAK,p,135.0,,total,-99.0,,0.1852,2005,2005,0
558,40,31,,PAK,p,117.0,,total,-99.0,,0.1966,2005,2005,0
559,50,41,,PAK,p,71.0,,total,-99.0,,0.2254,2005,2005,0
560,60,51,,PAK,p,34.0,,total,-99.0,,0.1471,2005,2005,0
561,80,61,,PAK,p,12.0,,total,-99.0,,0.0833,2005,2005,0
562,73,12,,PAK,p,29.0,,total,-99.0,,0.0345,2001,1998,1
563,9,0,,PAK,p,53.0,,total,-99.0,,0.0,1993,1993,0
564,19,10,,PAK,p,96.0,,total,-99.0,,0.0417,1993,1993,0
565,39,20,,PAK,p,101.0,,total,-99.0,,0.0495,1993,1993,0
566,59,40,,PAK,p,41.0,,total,-99.0,,0.122,1993,1993,0
567,70,60,,PAK,p,17.0,,total,-99.0,,0.3529,1993,1993,0
568,70,12,,PAK,p,221.0,,male,-99.0,,0.1041,2004,2004,1
569,70,12,,PAK,p,166.0,,female,-99.0,,0.1265,2004,2004,1
570,16,0,,PAK,p,538.0,,total,-99.0,,0.013,1999,1999,1
571,53,17,,PAK,p,417.0,,female,-99.0,,0.067,1999,1999,1
572,55,18,,PAK,p,41498.0,,total,-99.0,,0.0368,2005,1996,1
573,5,0,,PAN,p,4.0,,total,-99.0,,0.0,1992,1992,1
574,10,6,,PAN,p,16.0,,total,-99.0,,0.0,1992,1992,1
575,15,11,,PAN,p,18.0,,total,-99.0,,0.0,1992,1992,1
576,20,16,,PAN,p,12.0,,total,-99.0,,0.0,1992,1992,1
577,25,21,,PAN,p,12.0,,total,-99.0,,0.0,1992,1992,1
578,30,26,,PAN,p,13.0,,total,-99.0,,0.0,1992,1992,1
579,40,31,,PAN,p,16.0,,total,-99.0,,0.0,1992,1992,1
580,50,41,,PAN,p,13.0,,total,-99.0,,0.0,1992,1992,1
581,60,51,,PAN,p,4.0,,total,-99.0,,0.0,1992,1992,1
582,70,61,,PAN,p,1.0,,total,-99.0,,0.0,1992,1992,1
583,61,6,,PHL,p,200.0,,total,-99.0,,0.0108,2002,2002,1
584,58,18,,PHL,p,392.0,,male,-99.0,,0.023,1990,1990,1
585,20,10,,PHL,p,137.0,,total,-99.0,,0.0081,1997,1997,1
586,35,21,,PHL,p,25.0,,female,-99.0,,0.0,1997,1997,1
587,59,36,,PHL,p,25.0,,female,-99.0,,0.0,1997,1997,1
588,24,15,,PNG,p,82.0,,total,-99.0,,0.0854,1999,1999,1
589,35,25,,PNG,p,28.0,,total,-99.0,,0.1071,1999,1999,1
590,85,36,,PNG,p,39.0,,total,-99.0,,0.0513,1999,1999,1
591,65,18,,PNG,p,333.0,,male,-99.0,,0.042,1989,1989,0
592,65,18,,PNG,p,390.0,,female,-99.0,,0.041,1989,1989,0
593,88,1,,POL,p,2561.0,,total,-99.0,,0.0187,1999,1999,1
594,30,18,,POL,p,5098.0,,female,-99.0,,0.0047,2000,1998,1
595,40,31,,POL,p,802.0,,female,-99.0,,0.0062,2000,1998,1
596,70,41,,POL,p,645.0,,female,-99.0,,0.0031,2000,1998,1
597,30,18,,POL,p,23936.0,,male,-99.0,,0.005,2000,1998,1
598,40,31,,POL,p,8761.0,,male,-99.0,,0.0043,2000,1998,1
599,70,41,,POL,p,2915.0,,male,-99.0,,0.0045,2000,1998,1
600,29,20,,PRT,p,140.0,,total,-99.0,,0.0143,1994,1994,0
601,39,30,,PRT,p,149.0,,total,-99.0,,0.0067,1994,1994,0
602,49,40,,PRT,p,138.0,,total,-99.0,,0.0,1994,1994,0
603,59,50,,PRT,p,153.0,,total,-99.0,,0.0,1994,1994,0
604,65,60,,PRT,p,77.0,,total,-99.0,,0.0,1994,1994,0
605,7,3,,ROU,p,1787.0,,total,-99.0,,0.0173,1998,1998,1
606,0,0,,ROU,p,271.0,,total,-99.0,,0.0517,1996,1995,1
607,3,0,,ROU,p,214.0,,total,-99.0,,0.169,1990,1990,1
608,49,15,,ROU,p,100.0,,female,-99.0,,0.045,1990,1990,1
609,20,0,,RUS,p,1286.0,,total,-99.0,,0.0078,1996,1994,1
610,30,21,,RUS,p,3213.0,,total,-99.0,,0.0081,1996,1994,1
611,40,31,,RUS,p,3592.0,,total,-99.0,,0.0001,1996,1994,1
612,50,41,,RUS,p,1960.0,,total,-99.0,,0.0112,1996,1994,1
613,70,51,,RUS,p,631.0,,total,-99.0,,0.0174,1996,1994,1
614,85,14,,RUS,p,105.0,,total,-99.0,,0.0,2004,2004,1
615,82,16,,RUS,p,348.0,,total,-99.0,,0.0287,1995,1994,1
616,17,14,,RUS,p,423.0,,total,-99.0,,0.026,1999,1995,1
617,96,16,,RUS,p,500.0,,total,-99.0,,0.056,2002,2001,1
618,19,10,,SAU,p,256.0,,male,-99.0,,0.0002,1995,1995,0
619,29,20,,SAU,p,164.0,,male,-99.0,,0.0001,1995,1995,0
620,39,30,,SAU,p,121.0,,male,-99.0,,0.0003,1995,1995,0
621,49,40,,SAU,p,83.0,,male,-99.0,,0.0001,1995,1995,0
622,70,50,,SAU,p,81.0,,male,-99.0,,0.0006,1995,1995,0
623,19,10,,SAU,p,248.0,,female,-99.0,,0.0001,1995,1995,0
624,29,20,,SAU,p,197.0,,female,-99.0,,0.0001,1995,1995,0
625,39,30,,SAU,p,169.0,,female,-99.0,,0.0001,1995,1995,0
626,49,40,,SAU,p,100.0,,female,-99.0,,0.0005,1995,1995,0
627,70,50,,SAU,p,63.0,,female,-99.0,,0.0,1995,1995,0
628,12,1,,SAU,p,168.0,,total,-99.0,,0.0119,1995,1995,1
629,19,0,,SAU,p,11503.0,,total,-99.0,,0.002,2002,2000,1
630,29,20,,SAU,p,4572.0,,total,-99.0,,0.006,2002,2000,1
631,39,30,,SAU,p,4193.0,,total,-99.0,,0.011,2002,2000,1
632,49,40,,SAU,p,2315.0,,total,-99.0,,0.016,2002,2000,1
633,70,50,,SAU,p,1589.0,,total,-99.0,,0.016,2002,2000,1
634,45,18,,SAU,p,557813.0,,total,-99.0,,0.0113,2002,1998,1
635,38,18,,SGP,p,4091.0,,total,-99.0,,0.0054,1991,1991,1
636,9,0,,SLB,p,115.0,,total,-99.0,,0.0,1994,1994,1
637,19,10,,SLB,p,297.0,,total,-99.0,,0.0,1994,1994,1
638,29,20,,SLB,p,631.0,,total,-99.0,,0.0016,1994,1994,1
639,39,30,,SLB,p,374.0,,total,-99.0,,0.0027,1994,1994,1
640,49,40,,SLB,p,108.0,,total,-99.0,,0.0093,1994,1994,1
641,85,50,,SLB,p,85.0,,total,-99.0,,0.0118,1994,1994,1
642,66,0,,SOM,p,256.0,,total,-99.0,,0.0234,1995,1995,1
643,50,20,,SYR,p,65.0,,total,-99.0,,0.0189,2001,2001,1
644,66,18,,SYR,p,2100.0,,total,-99.0,,0.0095,2002,2002,1
645,20,17,,THA,p,3715.0,,male,-99.0,,0.018,1997,1995,1
646,30,21,,THA,p,3583.0,,male,-99.0,,0.0581,1997,1995,1
647,21,21,,THA,p,184.0,,male,-99.0,,0.0217,2000,2000,1
648,60,0,,THA,p,658.0,,total,-99.0,,0.038,1998,1996,1
649,60,11,,THA,p,150.0,,total,-99.0,,0.02,2000,2000,1
650,60,16,,THA,p,1716.0,,male,-99.0,,0.0321,2000,1999,1
651,60,16,,THA,p,451.0,,female,-99.0,,0.0177,2000,1999,1
652,60,13,,THA,p,1514.0,,total,-99.0,,0.0086,2002,2000,0
653,51,17,,THA,p,3255.0,,total,-99.0,,0.0562,1995,1995,1
654,60,0,,TUN,p,10567.0,,total,-99.0,,0.0021,1994,1993,0
655,58,20,,TUR,p,670.0,,total,-99.0,,0.006,2003,2001,1
656,18,10,,TUR,p,63.0,,total,-99.0,,0.0794,2003,2003,1
657,49,15,,TUR,p,916.0,,female,-99.0,,0.0022,2002,2002,1
658,49,15,,TUR,p,944.0,,total,-99.0,,0.0127,2004,2002,1
659,70,50,,TUR,p,376.0,,total,-99.0,,0.0452,2004,2002,1
660,16,5,,TUR,p,528.0,,total,-99.0,,0.0057,1999,1999,1
661,60,20,,TUR,p,39002.0,,total,-99.0,,0.0017,2003,1995,1
662,20,15,,TUR,p,175.0,,total,-99.0,,0.0114,2001,1998,1
663,40,21,,TUR,p,447.0,,total,-99.0,,0.0089,2001,1998,1
664,60,41,,TUR,p,425.0,,total,-99.0,,0.0376,2001,1998,1
665,85,61,,TUR,p,110.0,,total,-99.0,,0.0545,2001,1998,1
666,59,17,,TUR,p,12513.0,,total,-99.0,,0.0083,2000,2000,1
667,25,0,,TUR,p,437.0,,total,-99.0,,0.007,1992,1990,0
668,54,26,,TUR,p,619.0,,total,-99.0,,0.014,1992,1990,0
669,80,55,,TUR,p,318.0,,total,-99.0,,0.028,1992,1990,0
670,70,6,,USA,p,7307.0,,male,-99.0,,0.021,2002,1999,0
671,70,6,,USA,p,7772.0,,female,-99.0,,0.011,2002,1999,0
672,64,15,,UZB,p,1621.0,,total,-99.0,,0.1024,2000,1990,1
673,12,2,,VNM,p,87.0,,total,-99.0,,0.0,1995,1995,0
674,40,20,,VNM,p,591.0,,total,-99.0,,0.0694,1993,1993,1
675,65,39,,VNM,p,990.0,,total,-99.0,,0.1061,1992,1992,1
676,61,9,,YEM,p,72.0,,male,-99.0,,0.0417,2001,2001,1
677,61,9,,YEM,p,48.0,,female,-99.0,,0.0417,2001,2001,1
678,41,0,,YEM,p,586.0,,total,-99.0,,0.0057,1992,1992,1
679,80,5,,YEM,p,1183.0,,total,-99.0,,0.0118,2003,2003,1
680,80,3,,YEM,p,348.0,,total,-99.0,,0.0603,1992,1992,1
681,79,0,,ZAF,p,263.0,,total,-99.0,,0.0114,1999,1999,1
682,72,15,,ZAF,p,419.0,,male,-99.0,,0.0286,1992,1992,1
683,72,15,,ZAF,p,2917.0,,female,-99.0,,0.0007,1992,1992,1
684,40,12,,ZWE,p,64.0,,total,-99.0,,0.0156,1994,1994,0
685,84,41,,ZWE,p,78.0,,total,-99.0,,0.1282,1994,1994,0
686,19,14,,ZWE,p,303.0,,female,-99.0,,0.0099,1997,1996,1
687,24,20,,ZWE,p,599.0,,female,-99.0,,0.01,1997,1996,1
688,29,25,,ZWE,p,350.0,,female,-99.0,,0.0343,1997,1996,1
689,34,30,,ZWE,p,191.0,,female,-99.0,,0.0105,1997,1996,1
690,49,35,,ZWE,p,134.0,,female,-99.0,,0.0149,1997,1996,1
691,9,7,,europe_western,p,2.0,,total,-99.0,,0.0,1994,1994,1
692,19,10,,europe_western,p,46.0,,total,-99.0,,0.02,1994,1994,1
693,29,20,,europe_western,p,169.0,,total,-99.0,,0.01,1994,1994,1
694,39,30,,europe_western,p,132.0,,total,-99.0,,0.03,1994,1994,1
695,49,40,,europe_western,p,68.0,,total,-99.0,,0.0,1994,1994,1
696,59,50,,europe_western,p,49.0,,total,-99.0,,0.0,1994,1994,1
697,69,60,,europe_western,p,34.0,,total,-99.0,,0.0,1994,1994,1
698,80,69,,europe_western,p,3.0,,total,-99.0,,0.0,1994,1994,1
699,80,20,,europe_western,p,2233.0,,total,-99.0,,0.013,1991,1990,0
700,29,20,,USA,p,298.0,,male,-99.0,,0.004,2006,2001,0
701,39,30,,USA,p,591.0,,male,-99.0,,0.017,2006,2001,0
702,49,40,,USA,p,713.0,,male,-99.0,,0.0386,2006,2001,0
703,59,50,,USA,p,526.0,,male,-99.0,,0.0188,2006,2001,0
704,29,20,,USA,p,647.0,,female,-99.0,,0.0022,2006,2001,0
705,39,30,,USA,p,708.0,,female,-99.0,,0.0079,2006,2001,0
706,49,40,,USA,p,661.0,,female,-99.0,,0.0173,2006,2001,0
707,59,50,,USA,p,424.0,,female,-99.0,,0.01,2006,2001,0
708,39,30,,USA,p,132.0,,total,-99.0,,0.0391,1994,1988,0
709,49,40,,USA,p,91.0,,total,-99.0,,0.0305,1994,1988,0
710,59,50,,USA,p,41.0,,total,-99.0,,0.0136,1994,1988,0
711,80,60,,USA,p,64.0,,total,-99.0,,0.0093,1994,1988,0
712,39,30,,USA,p,51.0,,total,-99.0,,0.0155,2006,1999,0
713,49,40,,USA,p,139.0,,total,-99.0,,0.0406,2006,1999,0
714,59,50,,USA,p,77.0,,total,-99.0,,0.0255,2006,1999,0
